,name,position,lon,lat
82,上海临艺果蔬专业合作社(书院百果园),上海市浦东新区书院镇塘下公路1018号,121.893875,30.985607
83,上海外经贸丛书,四川中路49号2层209室,121.496039,31.239015
84,书院瓜果合作社,上海市浦东新区石潭街104号附近,121.879956,30.982503
85,乡村书屋,上海市崇明区育贤南路与锦霞路交叉路口东北侧(崇明县横沙中心校东侧),121.854177,31.347309
86,农家书屋,上海市宝山区钱何路,121.318508,31.505407
87,西西弗书店(上海晶耀前滩店),耀体路308号晶耀前滩2层,121.484859,31.15869
88,衡山·和集,上海市徐汇区衡山路838号,121.446426,31.202648
89,世纪集团上海书店出版社,上海市黄浦区福建中路193号世纪出版大厦22层,121.48808,31.239046
90,上海三联书店READWAY(新天地...,上海市黄浦区淮海中路333号新天地广场F4,121.480901,31.228777
91,书院镇集贸市场,老芦公路1369号,121.873758,30.93212
92,上海三联书店出版社编辑中心,上海市徐汇区漕溪北路331号中金国际广场a座,121.445001,31.196809
93,上海书刊交易市场,上海市静安区大宁路1139-3临,121.449616,31.276042
94,2平米智慧学习桌(上海书城店),福州路465号6楼,121.487978,31.239194
95,咏读文化,上海市浦东新区永春东路46号,121.748846,30.977786
96,书院镇健乐达线下导购店,岳麓道与首善街交叉口西150米,121.882425,30.980922
