,title,time,src,content,forward,like,comment
21,外交部发言人办公室,2020/10/28 18:12,微博视频,【#中方抗疫举措卓有成效#】“外交部发言人办公室”消息，在10月28日外交部例行记者会上，有记者问：新疆在查出几例新冠肺炎无症状感染者后开展大规模核酸检测。有些传染病学家认为没有必要。但与此同时，我们也看到美国等一些国家的新冠肺炎确诊人数居高不下。中方是否建议其他国家也开展大规模核酸检 ...展开全文c,35,499,53
22,外交部发言人办公室,2020/10/28 18:10,微博视频,【#中国吸引FDI逆势增长#　汪文斌：世界对中国发展的信任票，中国推进改革开放的成绩单】“外交部发言人办公室”消息，在10月28日外交部例行记者会上，有记者问：联合国贸易和发展会议27日发布报告显示，今年上半年全球外国直接投资（FDI）同比下滑49%，流入中国的FDI规模相对保持了韧性。该组织官员还 ...展开全文c,28,278,19
23,外交部发言人办公室,2020/10/28 18:03,微博视频,"【蓬佩奥再鼓吹“中国威胁”　汪文斌：#不过是“蓬氏谎言”的陈词滥调#】
“外交部发言人办公室”消息，在10月28日外交部例行记者会上，有记者问：美国务卿蓬佩奥27日接受印度媒体采访，再次攻击中国和中国共产党，声称整个世界都面临中国实现其民族复兴志向的挑战。中方对此有何评论？
汪文斌：蓬 ...展开全文c",199,668,91
24,外交部发言人办公室,2020/10/28 11:03,微博 weibo.com,【双语】例行记者会/Regular Press Conference（2020-10-27）#跟我看外交# #与发言人相约蓝厅#  °【双语】例行记者会/Regular Press Conferenc...,23,148,33
25,外交部发言人办公室,2020/10/27 18:18,微博视频,"【美国批准向台湾地区售武　汪文斌： #中方将采取正当必要措施 坚定捍卫国家主权和安全利益#】“外交部发言人办公室”消息，在10月27日外交部例行记者会上，有记者问：美国周一宣布批准向台湾地区出售100套“鱼叉”海岸防御系统，总价值约24亿美元。中方对此有何评论？
汪文斌：美国向台湾地区出售 ...展开全文c",172,747,128
26,外交部发言人办公室,2020/10/27 18:15,微博 weibo.com,汪文斌：#中方愿同周边国家共同提升联防联控水平##跟我看外交##与发言人相约蓝厅# @人民视频 °汪文斌：中方愿同周边国家共同提升联防联控水平,11,229,11
27,外交部发言人办公室,2020/10/27 18:12,微博视频,【#中非人文交流取得累累硕果# 】“外交部发言人办公室”消息，在10月27日外交部例行记者会上，有记者问：据报道，第五届中非青年大联欢26日在北京开幕。大联欢活动是中非合作论坛框架下最具活力的品牌活动。今年适逢中非合作论坛20周年，你能否介绍20年来中非在人文交流领域取得了哪些成果？对未来有 ...展开全文c,20,316,25
28,外交部发言人办公室,2020/10/20 18:16,搜狗高速浏览器,"【赵立坚：“发办”微信公众号已经陪伴“发小”走过了1000多个日日夜夜】“外交部发言人办公室”消息，10月20日外交部例行记者会上，赵立坚表示：昨天我向大家介绍了外交部发言人办公室账号喜讯。今天我高兴地看到，“发办”抖音账号增加了近百万粉丝。感谢大家的大力支持！
自2011年外交小灵通新 ...展开全文c",54,646,115
29,外交部发言人办公室,2020/10/20 18:12,搜狗高速浏览器,"【赵立坚：中国经济逆势上扬正向拉动全球经济复苏】“外交部发言人办公室”消息，在10月20日外交部例行记者会上，有记者问：中国国家统计局10月19日公布的数据显示，中国前三季度经济同比增长0.7%，引发各界广泛关注。请问中国经济逆势上扬对世界经济复苏意味着什么？
赵立坚：这当然是个好消息。 ...展开全文c",290,600,176
30,外交部发言人办公室,2020/10/20 18:10,搜狗高速浏览器,【赵立坚：所谓“强迫劳动”滑天下之大稽】“外交部发言人办公室”消息，在10月20日外交部例行记者会上，有记者问：10月19日，美国务院网站消息，美国务卿蓬佩奥就监测和打击人口贩运发表声明，指责中方在涉疆和宗教问题上的作法，包括“强迫劳动”，并称将继续就有关问题向中国政府施压。中方对此有何 ...展开全文c,38,349,51
